prefix,faction
AA,exipirated
AISS,anvil_industries
AL,approlight
ANS,ORA
ASP,syndicate_asp
Ashen,ashen_keepers
BCS,br_consortium
BDF,brighton
BMSS,blackjack
BRS,blackrock_driveyards
CCS,citadeldefenders
CGR,luddic_church
CLAS,communist_clouds
COPS,css
CSV,Coalition
DMS,dassault_mikoyan
DRACO,draco
DRS,domres
DSF,diableavionics
DSS,derelict
DSV,darkspire
EDS,ed_shipyard_faction
ESS,exalted
EXI,exigency
FANG,fang
FNS,star_federation
FOB,fob
FPE,fpe
GMDA,gmda
GS,gladiator
GTS,galaxytigers
HMI,hmi
HSS,hegemony
ICS,sun_ice
IL,immortallight
ISA,interstellarimperium
ISS,independent
KFV,tahlan_greathouses
KHS,kadur_remnant
KR,knight
LGS,lions_guard
LIV,tahlan_legioinfernalis
Lt,lte
MNS,mayorate
MSS,mayasura
MSV,metelson
MVS,mvs
N,noir
ODS,omicron_faction
PBC,pbc
PLS,persean
PSS,pack
RMSV,science_fuckers
RNS,junk_pirates
RSS,al_ars
RVTC,almighty_dollar
SAD,sad
SBS,6eme_bureau
SDS,sindrian_diktat
SIS,spire
SNS,SCY
SRD,sylphon
SRS,warhawk_republic
STAR,cabal
STDF,scalartech_elite
STS,scalartech
SYS,shadow_industry
THI,tiandong
TTDS,remnant
TTS,tritachyon
UNS,united_security
USN,diableavionics
VIC,vic
XHN,xhanempire
prv,prv
